Mario
"June 25, 2026 - August 13, 2026"
Campaign,Day,Currency code,Cost,Conversions,Conv. value
Search - Brand - Pesado 58.5 - 2026,2026-07-07,AUD,225.21,38.33,"4,370.34"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-07,AUD,117.89,12.20,"1,469.33"
Search - Brand - Pesado 58.5 - 2026,2026-07-08,AUD,417.38,44.50,"6,020.34"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-08,AUD,136.01,20.00,"2,939.74"
Search - Brand - Pesado 58.5 - 2026,2026-07-09,AUD,400.97,48.50,"6,844.94"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-09,AUD,44.29,3.00,233.39
Search - Brand - Pesado 58.5 - 2026,2026-07-10,AUD,404.99,45.67,"6,492.87"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-10,AUD,5.25,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-11,AUD,339.52,55.33,"6,197.04"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-11,AUD,25.65,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-12,AUD,322.87,58.90,"6,099.12"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-12,AUD,77.77,1.60,86.16
Search - Brand - Pesado 58.5 - 2026,2026-07-13,AUD,250.31,50.67,"6,315.46"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-13,AUD,196.23,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-14,AUD,303.62,54.25,"6,053.80"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-14,AUD,182.00,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-15,AUD,301.57,46.00,"5,955.46"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-15,AUD,181.59,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-16,AUD,314.80,43.75,"4,632.47"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-16,AUD,31.34,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-16,AUD,0.00,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-17,AUD,358.78,46.00,"5,536.52"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-17,AUD,0.73,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-17,AUD,21.08,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-18,AUD,381.73,55.00,"5,055.24"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-18,AUD,0.00,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-18,AUD,29.76,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-19,AUD,384.57,72.00,"7,678.56"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-19,AUD,0.00,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-19,AUD,69.57,4.00,315.13
Search - Brand - Pesado 58.5 - 2026,2026-07-20,AUD,255.58,48.50,"4,381.29"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-20,AUD,3.91,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-20,AUD,77.27,4.00,312.40
Search - Brand - Pesado 58.5 - 2026,2026-07-21,AUD,261.34,42.97,"4,274.77"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-21,AUD,1.28,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-21,AUD,69.30,5.00,393.20
Search - Brand - Pesado 58.5 - 2026,2026-07-22,AUD,437.33,42.80,"5,745.10"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-22,AUD,0.39,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-22,AUD,45.64,6.00,436.94
Search - Brand - Pesado 58.5 - 2026,2026-07-23,AUD,446.67,53.20,"5,556.59"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-23,AUD,11.30,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-23,AUD,62.54,5.00,425.87
Search - Brand - Pesado 58.5 - 2026,2026-07-24,AUD,366.13,40.00,"3,439.20"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-24,AUD,214.09,1.00,53.48
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-24,AUD,70.31,13.00,"1,233.74"
Search - Brand - Pesado 58.5 - 2026,2026-07-25,AUD,367.90,44.33,"5,703.36"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-25,AUD,358.62,2.18,594.89
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-25,AUD,96.03,8.00,"1,142.38"
Search - Brand - Pesado 58.5 - 2026,2026-07-26,AUD,301.33,37.50,"3,559.27"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-26,AUD,299.89,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-26,AUD,101.99,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-27,AUD,333.00,40.33,"4,088.37"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-27,AUD,234.63,3.00,233.20
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-27,AUD,116.73,13.00,"1,019.74"
Search - Brand - Pesado 58.5 - 2026,2026-07-28,AUD,378.78,58.00,"6,626.38"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-28,AUD,386.58,0.55,59.69
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-28,AUD,106.23,5.00,623.93
Search - Brand - Pesado 58.5 - 2026,2026-07-29,AUD,345.00,33.00,"3,306.44"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-29,AUD,410.46,2.00,537.88
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-29,AUD,168.11,4.13,320.05
Search - Brand - Pesado 58.5 - 2026,2026-07-30,AUD,315.66,45.38,"5,237.86"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-30,AUD,303.36,2.45,236.70
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-30,AUD,173.73,3.53,361.56
Search - Brand - Pesado 58.5 - 2026,2026-07-31,AUD,268.70,22.00,"2,662.92"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-31,AUD,199.64,0.00,0.00
Pesado 58.5 - Non Brand Search Categories - 2026,2026-07-31,AUD,279.78,4.00,420.12
Search - Brand - Pesado 58.5 - 2026,2026-08-01,AUD,344.22,21.00,"2,594.38"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-01,AUD,302.38,5.00,584.22
Search - Brand - Pesado 58.5 - 2026,2026-08-02,AUD,379.16,36.00,"3,753.06"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-02,AUD,327.20,6.00,649.74
Pesado 58.5 - Standar Shopping - AU,2026-08-02,AUD,0.00,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-08-03,AUD,403.96,32.00,"3,417.84"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-03,AUD,380.56,5.00,563.32
Pesado 58.5 - Standar Shopping - AU,2026-08-03,AUD,115.28,0.03,4.07
Search - Brand - Pesado 58.5 - 2026,2026-08-04,AUD,390.12,26.96,"3,842.74"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-04,AUD,335.52,4.00,531.11
Pesado 58.5 - Standar Shopping - AU,2026-08-04,AUD,119.58,1.00,120.92
Search - Brand - Pesado 58.5 - 2026,2026-08-05,AUD,355.59,25.33,"2,741.40"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-05,AUD,323.52,6.00,801.46
Pesado 58.5 - Standar Shopping - AU,2026-08-05,AUD,107.69,2.00,195.00
Search - Brand - Pesado 58.5 - 2026,2026-08-06,AUD,159.12,13.00,"1,532.72"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-06,AUD,389.45,9.00,"1,107.33"
Pesado 58.5 - Standar Shopping - AU,2026-08-06,AUD,178.62,3.00,318.50
Search - Brand - Pesado 58.5 - 2026,2026-08-07,AUD,51.56,23.00,"3,318.69"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-07,AUD,134.48,1.00,107.00
Pesado 58.5 - Standar Shopping - AU,2026-08-07,AUD,179.19,2.00,184.00
Search - Brand - Pesado 58.5 - 2026,2026-08-08,AUD,57.88,21.00,"1,995.76"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-08,AUD,132.36,4.00,251.65
Pesado 58.5 - Standar Shopping - AU,2026-08-08,AUD,178.70,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-08-09,AUD,53.62,28.00,"2,839.54"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-09,AUD,259.64,3.00,211.50
Pesado 58.5 - Standar Shopping - AU,2026-08-09,AUD,185.65,1.00,77.00
Search - Brand - Pesado 58.5 - 2026,2026-08-10,AUD,46.58,23.00,"2,577.47"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-10,AUD,177.21,5.00,842.68
Pesado 58.5 - Standar Shopping - AU,2026-08-10,AUD,187.28,5.97,561.95
Search - Brand - Pesado 58.5 - 2026,2026-08-11,AUD,48.07,13.00,"1,739.32"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-11,AUD,173.70,3.00,316.00
Pesado 58.5 - Standar Shopping - AU,2026-08-11,AUD,185.03,1.00,107.00
Search - Brand - Pesado 58.5 - 2026,2026-08-12,AUD,51.61,10.00,"1,304.92"
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-12,AUD,224.65,3.00,475.55
Pesado 58.5 - Standar Shopping - AU,2026-08-12,AUD,176.84,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-08-13,AUD,5.88,1.00,77.90
Pesado 58.5 - Non Brand Search Categories - 2026,2026-08-13,AUD,3.30,0.00,0.00
Pesado 58.5 - Standar Shopping - AU,2026-08-13,AUD,31.52,0.00,0.00
